,nprogs,prob,iter,potency_diff
124,4,0.2,4,0.06793424440483264
125,4,0.3,0,0.08694791047732224
126,4,0.3,1,0.11170528817587641
127,4,0.3,2,0.11170528817587641
128,4,0.3,3,0.11269558328381858
129,4,0.3,4,0.08694791047732224
130,4,0.4,0,0.11170528817587641
131,4,0.4,1,0.11170528817587641
132,4,0.4,2,0.07031095266389384
133,4,0.4,3,0.07031095266389384
134,4,0.4,4,0.08694791047732224
135,4,0.5,0,0.11170528817587641
136,4,0.5,1,0.08041196276490394
137,4,0.5,2,0.04495939790057437
138,4,0.5,3,0.07031095266389384
139,4,0.5,4,0.04495939790057437
140,4,0.6,0,0.04495939790057437
141,4,0.6,1,0.04495939790057437
142,4,0.6,2,0.04495939790057437
143,4,0.6,3,0.0255496137849079
144,4,0.6,4,0.015448603683897801
145,4,0.7,0,0.08219449395919984
146,4,0.7,1,0.09665280253515547
147,4,0.7,2,0.10596157654981185
148,4,0.7,3,0.02178649237472767
149,4,0.7,4,0.0106951871657754
150,4,0.8,0,0.09665280253515547
151,4,0.8,1,0.04495939790057437
152,4,0.8,2,0.10596157654981185
153,4,0.8,3,0.04495939790057437
154,4,0.8,4,0.0106951871657754
155,4,0.9,0,0.04495939790057437
156,4,0.9,1,0.04495939790057437
157,4,0.9,2,0.04495939790057437
158,4,0.9,3,0.0
159,4,0.9,4,0.04495939790057437
160,5,0.2,0,0.05862547039017627
161,5,0.2,1,0.10417904535551595
162,5,0.2,2,0.10417904535551595
163,5,0.2,3,0.10417904535551595
164,5,0.2,4,0.05862547039017627
165,5,0.3,0,0.04198851257674787
166,5,0.3,1,0.06674589027530203
167,5,0.3,2,0.06674589027530203
168,5,0.3,3,0.0677361853832442
169,5,0.3,4,0.04198851257674787
170,5,0.4,0,0.06674589027530203
171,5,0.4,1,0.06674589027530203
172,5,0.4,2,0.030303030303030304
173,5,0.4,3,0.030303030303030304
174,5,0.4,4,0.04198851257674787
175,5,0.5,0,0.07328183798772034
176,5,0.5,1,0.04654387007328184
177,5,0.5,2,0.030303030303030304
178,5,0.5,3,0.058229352346999406
179,5,0.5,4,0.037037037037037035
180,5,0.6,0,0.030303030303030304
181,5,0.6,1,0.030303030303030304
182,5,0.6,2,0.009110714993067934
183,5,0.6,3,0.05149534561299267
184,5,0.6,4,0.004357298474945534
185,5,0.7,0,0.048326401267577736
186,5,0.7,1,0.05783323430382254
187,5,0.7,2,0.0570409982174688
188,5,0.7,3,0.06337888690829867
189,5,0.7,4,0.05783323430382254
190,5,0.8,0,0.05783323430382254
191,5,0.8,1,0.0
192,5,0.8,2,0.0570409982174688
193,5,0.8,3,0.05268369974252327
194,5,0.8,4,0.005149534561299267
195,5,0.9,0,0.05268369974252327
196,5,0.9,1,0.0
197,5,0.9,2,0.05268369974252327
198,5,0.9,3,0.0
199,5,0.9,4,0.0
200,6,0.2,0,0.09902951079421668
201,6,0.2,1,0.1556743909685086
202,6,0.2,2,0.1556743909685086
203,6,0.2,3,0.1556743909685086
204,6,0.2,4,0.09902951079421668
205,6,0.3,0,0.09348385818974055
206,6,0.3,1,0.12477718360071301
207,6,0.3,2,0.11824123588829472
208,6,0.3,3,0.11923153099623687
209,6,0.3,4,0.09348385818974055
210,6,0.4,0,0.11824123588829472
211,6,0.4,1,0.11824123588829472
212,6,0.4,2,0.08179837591602297
213,6,0.4,3,0.08179837591602297
214,6,0.4,4,0.09348385818974055
215,6,0.5,0,0.11824123588829472
216,6,0.5,1,0.08892850069320657
217,6,0.5,2,0.08179837591602297
218,6,0.5,3,0.05387205387205387
219,6,0.5,4,0.014458308575955635
220,6,0.6,0,0.08615567439096851
221,6,0.6,1,0.08179837591602297
222,6,0.6,2,0.042384630619924736
223,6,0.6,3,0.005545652604476134
224,6,0.6,4,0.01881560705090117
225,6,0.7,0,0.07288571994454347
226,6,0.7,1,0.08100613982966924
227,6,0.7,2,0.058229352346999406
228,6,0.7,3,0.013269954446425035
229,6,0.7,4,0.002178649237472767
230,6,0.8,0,0.08100613982966924
231,6,0.8,1,0.05030699148346207
232,6,0.8,2,0.058229352346999406
233,6,0.8,3,0.0
234,6,0.8,4,0.041592394533571005
235,6,0.9,0,0.04713804713804714
236,6,0.9,1,0.08199643493761141
237,6,0.9,2,0.04713804713804714
238,6,0.9,3,0.0
239,6,0.9,4,0.05030699148346207
240,7,0.2,0,0.10635769459298872
241,7,0.2,1,0.15191126955832837
242,7,0.2,2,0.15191126955832837
243,7,0.2,3,0.15191126955832837
244,7,0.2,4,0.10635769459298872
245,7,0.3,0,0.0962566844919786
246,7,0.3,1,0.11447811447811448
247,7,0.3,2,0.11447811447811448
248,7,0.3,3,0.11546840958605664
249,7,0.3,4,0.0962566844919786
250,7,0.4,0,0.11447811447811448
251,7,0.4,1,0.11447811447811448
252,7,0.4,2,0.07803525450584274
253,7,0.4,3,0.07803525450584274
254,7,0.4,4,0.08972073677956031
255,7,0.5,0,0.11447811447811448
256,7,0.5,1,0.07565854624678155
257,7,0.5,2,0.07803525450584274
258,7,0.5,3,0.054466230936819175
259,7,0.5,4,0.0106951871657754
260,7,0.6,0,0.08239255298078828
261,7,0.6,1,0.07803525450584274
262,7,0.6,2,0.038621509209744505
263,7,0.6,3,0.007724301841948901
264,7,0.6,4,0.015052485640720936
265,7,0.7,0,0.07724301841948901
266,7,0.7,1,0.07724301841948901
267,7,0.7,2,0.054466230936819175
268,7,0.7,3,0.0029708853238265003
269,7,0.7,4,0.009902951079421667
270,7,0.8,0,0.07724301841948901
271,7,0.8,1,0.06734006734006734
272,7,0.8,2,0.054466230936819175
273,7,0.8,3,0.0
274,7,0.8,4,0.03782927312339077
275,7,0.9,0,0.039413745296098236
276,7,0.9,1,0.06734006734006734
277,7,0.9,2,0.039413745296098236
278,7,0.9,3,0.027926322043969103
279,7,0.9,4,0.04258268964151317
280,8,0.2,0,0.10932857991681522
281,8,0.2,1,0.15488215488215487
282,8,0.2,2,0.15488215488215487
283,8,0.2,3,0.15488215488215487
284,8,0.2,4,0.10932857991681522
285,8,0.3,0,0.0992275698158051
286,8,0.3,1,0.11744899980194098
287,8,0.3,2,0.12398494751435928
288,8,0.3,3,0.11843929490988314
289,8,0.3,4,0.0992275698158051
290,8,0.4,0,0.11744899980194098
291,8,0.4,1,0.11744899980194098
292,8,0.4,2,0.08100613982966924
293,8,0.4,3,0.08100613982966924
294,8,0.4,4,0.0992275698158051
295,8,0.5,0,0.11744899980194098
296,8,0.5,1,0.07862943157060805
297,8,0.5,2,0.08100613982966924
298,8,0.5,3,0.05307981778570014
299,8,0.5,4,0.013666072489601902
300,8,0.6,0,0.08100613982966924
301,8,0.6,1,0.08100613982966924
302,8,0.6,2,0.041592394533571005
303,8,0.6,3,0.004753416518122401
304,8,0.6,4,0.018023370964547435
305,8,0.7,0,0.07209348385818974
306,8,0.7,1,0.07427213309566251
307,8,0.7,2,0.057437116260645675
308,8,0.7,3,0.0
309,8,0.7,4,0.0069320657555951674
310,8,0.8,0,0.07427213309566251
311,8,0.8,1,0.06734006734006734
312,8,0.8,2,0.057437116260645675
313,8,0.8,3,0.0
314,8,0.8,4,0.034858387799564274
315,8,0.9,0,0.039413745296098236
316,8,0.9,1,0.06734006734006734
317,8,0.9,2,0.039413745296098236
318,8,0.9,3,0.027926322043969103
319,8,0.9,4,0.04258268964151317
320,9,0.2,0,0.10932857991681522
321,9,0.2,1,0.15488215488215487
322,9,0.2,2,0.15488215488215487
323,9,0.2,3,0.15488215488215487
324,9,0.2,4,0.10932857991681522
325,9,0.3,0,0.09269162210338681
326,9,0.3,1,0.11744899980194098
327,9,0.3,2,0.11744899980194098
328,9,0.3,3,0.11843929490988314
329,9,0.3,4,0.09269162210338681
330,9,0.4,0,0.11744899980194098
331,9,0.4,1,0.11744899980194098
332,9,0.4,2,0.08100613982966924
333,9,0.4,3,0.08100613982966924
334,9,0.4,4,0.09269162210338681
335,9,0.5,0,0.12398494751435928
336,9,0.5,1,0.07862943157060805
337,9,0.5,2,0.08536343830461478
338,9,0.5,3,0.05307981778570014
339,9,0.5,4,0.013666072489601902
340,9,0.6,0,0.08100613982966924
341,9,0.6,1,0.08100613982966924
342,9,0.6,2,0.041592394533571005
343,9,0.6,3,0.004753416518122401
344,9,0.6,4,0.018023370964547435
345,9,0.7,0,0.07209348385818974
346,9,0.7,1,0.07427213309566251
347,9,0.7,2,0.057437116260645675
348,9,0.7,3,0.0
349,9,0.7,4,0.0069320657555951674
350,9,0.8,0,0.07427213309566251
351,9,0.8,1,0.06734006734006734
352,9,0.8,2,0.057437116260645675
353,9,0.8,3,0.0
354,9,0.8,4,0.034858387799564274
355,9,0.9,0,0.039413745296098236
356,9,0.9,1,0.06734006734006734
357,9,0.9,2,0.039413745296098236
358,9,0.9,3,0.0
359,9,0.9,4,0.06734006734006734
360,10,0.2,0,0.10932857991681522
361,10,0.2,1,0.15488215488215487
362,10,0.2,2,0.15488215488215487
363,10,0.2,3,0.15488215488215487
364,10,0.2,4,0.11804317686670628
365,10,0.3,0,0.09269162210338681
366,10,0.3,1,0.11744899980194098
367,10,0.3,2,0.11744899980194098
368,10,0.3,3,0.11843929490988314
369,10,0.3,4,0.09269162210338681
370,10,0.4,0,0.11744899980194098
371,10,0.4,1,0.12398494751435928
372,10,0.4,2,0.08100613982966924
373,10,0.4,3,0.08100613982966924
374,10,0.4,4,0.09269162210338681
375,10,0.5,0,0.12398494751435928
376,10,0.5,1,0.08080808080808081
377,10,0.5,2,0.08100613982966924
378,10,0.5,3,0.05307981778570014
379,10,0.5,4,0.013666072489601902
380,10,0.6,0,0.08536343830461478
381,10,0.6,1,0.08100613982966924
382,10,0.6,2,0.041592394533571005
383,10,0.6,3,0.004753416518122401
384,10,0.6,4,0.018023370964547435
385,10,0.7,0,0.07209348385818974
386,10,0.7,1,0.07427213309566251
387,10,0.7,2,0.057437116260645675
388,10,0.7,3,0.0
389,10,0.7,4,0.0069320657555951674
390,10,0.8,0,0.07427213309566251
391,10,0.8,1,0.06734006734006734
392,10,0.8,2,0.057437116260645675
393,10,0.8,3,0.0
394,10,0.8,4,0.034858387799564274
395,10,0.9,0,0.039413745296098236
396,10,0.9,1,0.06734006734006734
397,10,0.9,2,0.039413745296098236
398,10,0.9,3,0.027926322043969103
399,10,0.9,4,0.04258268964151317
