	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c20285	0	48	43	0	-1	0	0	-1	-1	0	0	-1	-1	0	0	49	30	21	0	0	13	-1	0	13	-1	-1	-1	0	10	0
c20346	0	0	44	-1	-1	0	0	0	0	0	0	-1	0	13	0	0	4	0	22	9	-1	0	32	0	3	-1	-1	0	38	15
c20459	0	0	-1	-1	14	-1	0	2	-1	20	0	0	0	39	0	0	-1	0	0	10	0	-1	19	14	24	7	0	23	-1	0
c20469	0	0	-1	-1	-1	-1	-1	-1	0	-1	41	0	-1	0	0	0	0	0	-1	0	0	-1	19	0	24	0	47	22	0	-1
c20546	17	0	50	2	33	-1	33	-1	0	0	9	-1	-1	0	15	49	-1	0	7	-1	1	13	-1	0	21	0	0	-1	-1	50
c20643	-1	13	44	0	0	0	0	50	0	-1	24	37	-1	0	0	0	-1	2	0	13	-1	0	5	0	0	0	0	-1	38	15
c20650	-1	0	0	-1	0	48	-1	-1	-1	9	0	-1	17	0	0	49	0	-1	0	0	0	-1	0	0	21	2	0	0	19	22
c20780	2	0	-1	0	0	0	-1	0	-1	0	0	0	0	13	9	0	4	0	0	0	-1	14	0	0	0	0	0	10	38	15
c20991	41	0	43	0	4	0	0	-1	41	0	0	-1	0	38	0	-1	20	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0
c21010	19	0	44	-1	0	0	32	0	0	0	-1	50	14	24	0	0	4	0	0	0	23	12	7	0	-1	0	13	0	38	15
c21047	0	0	0	14	-1	0	-1	-1	0	-1	0	0	49	-1	0	15	-1	-1	0	0	0	0	0	-1	15	0	23	0	0	-1
c21086	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	8	-1	0	0	0	0	49	0	49	0	0	34	0	0	-1	-1	0	0
c21228	-1	0	0	0	0	19	-1	0	0	36	0	0	12	-1	32	49	39	2	32	13	0	-1	0	0	0	-1	16	19	-1	0
c21231	15	0	0	14	38	0	-1	0	0	15	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	12	0	-1	0	0	0
c21464	1	0	-1	-1	-1	0	0	0	-1	-1	0	2	0	0	0	0	1	0	17	32	50	-1	0	-1	-1	0	22	-1	1	0
c21465	1	-1	-1	19	0	0	0	-1	-1	0	-1	0	0	29	0	0	1	0	17	32	50	-1	0	-1	34	0	22	-1	-1	0
c21498	0	-1	-1	-1	22	0	32	-1	-1	22	7	-1	-1	-1	0	49	0	5	0	0	32	-1	0	0	21	0	0	-1	0	0
c21576	-1	0	0	0	0	16	21	-1	0	0	0	-1	0	0	-1	49	7	0	-1	38	0	0	-1	-1	21	0	41	0	0	29
c21713	-1	12	0	-1	38	0	0	1	-1	-1	-1	0	8	0	-1	0	0	-1	35	0	0	29	-1	0	-1	0	-1	0	0	-1
c21732	0	13	44	38	0	0	0	0	-1	2	-1	0	10	0	0	0	4	0	0	10	-1	0	0	0	0	0	13	0	38	15
c21738	15	0	0	0	1	0	0	-1	0	22	0	-1	-1	0	0	-1	0	5	-1	48	0	0	32	0	21	21	-1	28	0	0
c21805	19	-1	44	-1	0	-1	0	32	0	0	0	0	-1	-1	0	0	4	0	10	0	0	0	20	35	0	2	13	43	38	-1
c21839	0	0	8	-1	-1	-1	0	-1	0	0	-1	0	0	0	0	0	1	-1	0	0	20	-1	0	0	23	-1	-1	-1	50	-1
c21941	-1	-1	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	13	0	-1	0	0	0	0	-1	0	0	-1
c22087	35	0	0	25	0	0	0	0	0	0	0	13	-1	0	0	32	1	0	7	-1	29	2	13	0	9	0	0	10	-1	-1
