tree_index	node_name	label
5	node119	{'NeuralTube', 'Somite'}
8	node119	{'NeuralTube', 'Somite'}
0	node12	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node12	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node12	{'NeuralTube', 'Somite'}
12	node12	{'NMPs', 'Somite', 'NeuralTube'}
13	node12	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
2	node12	{'NMPs', 'Somite', 'NeuralTube'}
4	node12	{'NMPs', 'Somite', 'NeuralTube'}
5	node12	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
6	node12	{'NeuralTube', 'Somite'}
8	node12	{'NMPs', 'Somite', 'NeuralTube'}
9	node12	{'NeuralTube', 'Somite'}
4	node120	{'NeuralTube', 'Somite'}
8	node120	{'NMPs', 'Somite', 'NeuralTube'}
9	node120	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
1	node121	{'NeuralTube', 'Somite'}
11	node121	{'NMPs', 'Somite', 'NeuralTube'}
12	node121	{'NMPs', 'Somite', 'NeuralTube'}
13	node121	{'NeuralTube', 'Somite'}
4	node121	{'NeuralTube', 'Somite'}
1	node122	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node122	{'NMPs', 'Somite', 'NeuralTube'}
5	node122	{'NMPs', 'Somite', 'NeuralTube'}
8	node122	{'NMPs', 'Somite', 'NeuralTube'}
0	node123	{'NeuralTube', 'Somite'}
10	node123	{'NeuralTube', 'Somite'}
2	node123	{'NMPs', 'Somite', 'NeuralTube'}
0	node124	{'NMPs', 'Somite', 'NeuralTube'}
5	node124	{'NMPs', 'Somite', 'NeuralTube'}
8	node124	{'NMPs', 'Somite', 'NeuralTube'}
9	node124	{'NMPs', 'Somite', 'NeuralTube'}
0	node125	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node125	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node125	{'NeuralTube', 'Somite'}
